"name","tweet","retweets","location","created","followers","is_user_verified"
"narasimha_chow2","Free of Cost Food for CORONA Patients in Hyderabad👍\n\nContact details mentioned below\n\n#COVID19 #Covid19IndiaHelp\n#Covid19Hyderabad #CovidHelp https://t.co/6Ko7Evkn8k","1","Chatukupadu","27-Apr-2021","378","False"
"Itslaharika","Free FOOD for Corona patients at Vijayawada.\n#CovidHelp #Covid19IndiaHelp #Vijayawada #CovidResources https://t.co/NbjEXlBVMh","0","Hyderabad, India","27-Apr-2021","522","False"
"Apoorvasripathi","@aishu_s also saw that you're cooking food for corona patients -- you're amazing 💗 stay safe!!","0","","26-Apr-2021","1687","False"
"thakkarmanan","Jain food for corona patients\nCan help someone in need\nPls pass on\n@darshanvmehta1 @MNCDFbombay @ShreeThaker @hiralbdesai https://t.co/q4BfwoUeAl","0","India","25-Apr-2021","26","False"
"Rakesh5_","Free delivery of Oxygen Cylinder, Corona Medicine and food for Corona patients in #Jammu \nContact @RijulJk @hillsidekart https://t.co/UoBJxweKFf","2","Jammu, Jammu And Kashmir, 🇮🇳","24-Apr-2021","375","False"
"jkmediasocial","Free delivery of Oxygen Cylinder, Corona Medicine and food for Corona patients in #Jammu \n\nContact Rijul Magotra on Twitter @hillsidekart and mobile no 9906343589. https://t.co/QhxMSmZhpW","14","Jammu, Jammu And Kashmir,India","24-Apr-2021","24838","False"
"Rakesh5_","@RijulJk @hillsidekart You are doing Appsolutely a Great work 👏👏👏👏👏\nFree delivery of Oxygen Cylinder, Corona Medicine and food for Corona patients in #Jammu \nContact @RijulJk Ji on Twitter @hillsidekart and mobile no 9906343589. @AdityaRajKaul \nhttps://t.co/8WIcqRgSzb","1","Jammu, Jammu And Kashmir, 🇮🇳","24-Apr-2021","375","False"
"bhoovi","Need one help guys. Is there anyone preparing &amp; delivering good food for covid patients in &amp; around Maatuthavani, #Madurai ? Kindly check and tell me. Thanks.","3","","30-Apr-2021","299","False"
"JenishaRani","Sweet people in here, please help me with recipes of simple yet healthy food for COVID patients. I'm losing my mind over this.","7","Chennai, India","30-Apr-2021","4287","False"
"ambertonic_","Also, those who do not know yet,\n\nThis website offers names and contact details of people/kitchens offering #food for #Covid patients- even city specific. \nYou can also register as service provider here. \n\nWebsite- https://t.co/1jZ2W7Qf4o","7","","30-Apr-2021","23964","False"
"Madhuli97834833","@deepigoyal  sir I would like to know do you deliver food for covid patients in jamnagar it's urgent please reply ASAP","0","Gujarat, India","30-Apr-2021","8","False"
"glblink","Attendants arrange food for Covid patients in Anantnag hospital https://t.co/oQYHDZTwZL","0","London, England","29-Apr-2021","5411","False"
"Kashmir_Reader","Attendants arrange food for Covid patients in Anantnag hospital https://t.co/ZeWxme9zML","0","Jammu And Kashmir","29-Apr-2021","75682","False"
"shreya_varuniac","More resources:\nSurat: https://t.co/z3xyaT8bvt\nAll India: https://t.co/t6SvsdBJaM\nFree physiotherapy for COVID patients: https://t.co/L9kryKNgdJ \nChandigarh: https://t.co/6v133QE5nz\nHome Food for COVID patients: https://t.co/R96wnjtBby","0","India","29-Apr-2021","174","False"
"AlpineFine","#Delhi \nIskcon temple providing food for covid patients. One can pay as per their will.....\n\nVerified at 6:45 , 29/04\n\n#CovidHelp \n#CovidIndiaInfo \n#CovidResources https://t.co/FdlzHbBgDg","4","","29-Apr-2021","419","False"
"BJYMforDelhi","Applaudable effort by @BJYMforDelhi District president @gaurav_jorasiya and team By opening Namo Rasoi and distributing food for covid patients, their quarantined family and other needy people. Keep up the work team \n#BJYMCares \n@VasuRukharBjp \n@Tejasvi_Surya https://t.co/Aytg2R2DuA","10","","29-Apr-2021","650","False"
"LokmatNewsEng","#aurangabadmunicipalcorporation #amc\nAMC spends Rs 4.53 crore on food for Covid patients\nAurangabad, April 29: &lt;/p&gt;The Aurangabad Municipal Corporation (AMC) had spent Rs 4\nhttps://t.co/mPPJpdg8wK","0","","29-Apr-2021","122","False"
"ShriyankaSadan1","@itsme_your_himu This contact number is not for Nurse, its for home cooked food for Covid patients in Delhi NCR. Personally verified by me as on 7:42pm on 29/4/2021","0","","29-Apr-2021","4","False"
"anonyy_mouse","Free food for Covid patients who are at home in Ghaziabad https://t.co/FBp3Us1Ndh","8","","29-Apr-2021","6900","False"
"yoursfellow","In this Pandemic situation #AasyaFoundation providing free food for Covid Patients. Feel free to contact around the area people.\n#AasyaFoundation #FreeFood #COVID19 https://t.co/7zVVjADP0B","0","india","29-Apr-2021","2","False"
"zillion_dreams","@DehradunWeekly Can you provide any lead for oxygen cylinder and food for covid patients","0","","29-Apr-2021","9","False"
"rj_damini","#Verified #Kota \nIf a covid family needs food they can contact here . TRP is delivering free food for covid patients. #staystrong https://t.co/nBjSagzxZ7","1","Rajasthan, India","29-Apr-2021","151","False"
"puneetabrolbjp","@BJP4Chandigarh @DgpChdPolice\nFree food for covid patients in Chandigarh https://t.co/i0NniH5RHH","0","delhi","29-Apr-2021","3531","False"
"deepakkn10","I just supported Sapaadu for Chennai on @buymeacoffee! 🎉 \n\nSapaadu for Chennai is serving home cooked food for COVID patients in Chennai. You can support by buying a meal 🍛 here — https://t.co/rs0lKpTyTo","0","Woodland Hills, Los Angeles","29-Apr-2021","90","False"
"Vassutarak9999","HELPINGSPOT ORG presents \n\nFree Food for COVID patients 🙏👆","9","","29-Apr-2021","11900","False"
"am_rax__","#RAJASTHAN #kota FOOD FOR COVID PATIENTS IN KOTA AMPLIFY❤️❤️✅✅🙏 https://t.co/1mFCpNtWD3","6","Jujutsu tech ✨","29-Apr-2021","1745","False"
"Ironmanmir","@AmhiDombivlikar : Any advice / suggestions who provides South Indian food for Covid patients in Dombivli ?","0","","29-Apr-2021","89","False"
"iShruttiSingh","@AmazonHelp It wasn't any luxury item but essentials(food) for covid patients @amazonIN @amazon","0","India","29-Apr-2021","27","False"
"HyndaviJi","WhatsApp message \nDear Hyderabadis \n7thcloudkitchen supplying hygiene and tasty food for COVID patients please contact this number \n8978619766 🙏🏻🙏🏻 https://t.co/e26b8aO2dB","2","भारत वर्ष","29-Apr-2021","10430","False"
"_Riyansh","MG Motor's plant team has visited the GMERS Hospital Gotri and Samaras COVID Hospital and Polytechnic hostel compound and assured them of food for COVID patients and their relatives. I have never any company doing such great works. https://t.co/2uJQ0h85sX","0","","29-Apr-2021","260","False"
"BackupBae","🚨🚨🚨🚨🚨🚨🚨🚨\nFREE \nCovid Food Service\nHomemade food for covid patients\n\nlocation\nHOTEL HIMLAND EAST, Circular road, #Shimla, #Himachal Pradesh, 171001\n\ndelivery\nFree Food For Charity\n\nphone\n9878375090    9888950788   \n#Verified self\n#COVID19India #COVID19 #COVIDEmergency2021 https://t.co/ea6k3VTRHD","38","","29-Apr-2021","2791","False"
"TheBlackHole_0","Free food for Covid Patients- Indore! \n\n#Covid19IndiaHelp \n#CovidIndiaInfo https://t.co/IFo3hqDPsG https://t.co/W8ZnjdRLrc","2","Event Horizon","29-Apr-2021","2032","False"
"Pari_infinity","Free food for Covid Patients- Indore! \n\n#Covid19IndiaHelp \n#CovidIndiaInfo https://t.co/Bzb58pmJhk https://t.co/pbP1eCYS9U","5","Saturn","29-Apr-2021","2705","False"
"VarshuuS","Free food for Covid Patients- Indore! \n\n#Covid19IndiaHelp \n#CovidIndiaInfo https://t.co/hBGkqNEKRK","3","","29-Apr-2021","559","False"
"SanjayEazy","Free Food For Covid Patients ..\n\nOne Meal Can Save Anyone's Life\n\n #Kolkata #Covid19IndiaHelp \n#Verified https://t.co/t5Pr1LGXvN","4","India","29-Apr-2021","206","False"
"djballysingh","@WhereIsMy_Food any leads of food for covid patients in mohali","0","","29-Apr-2021","90","False"
"manideep_mikee","Free home prepared food for Covid Patients in Hyderabad 🍜\n\nContact : 9573185358 &amp; 9866651601 ☎\n\nMake sure to provide them your exact location with Covid Positive report. They'll help you to serve food for free on your request 🤗","10","Hyderabad, India","29-Apr-2021","2505","False"
"vivaceAjay","Food For COVID patients","2","Hyderabad, India","29-Apr-2021","2293","False"
"babasahay","@blrcitytraffic Sir i need to travel from my home 7th phase JP  Nagar to 2nd phase JP Nagar my kitchen to organize prepareing of food for covid patients also we do food delivery. how to travel during lockdown, can i get movement pass.Please advice?","0","","29-Apr-2021","9","False"
"Pavan12046675","@saigaaadu Ig:- _freekitchen_ also provides free food for covid patients in hyd","0","","29-Apr-2021","5","False"
"RCFanGirls","Free home prepared food for Covid Patients in Hyderabad 🍜\n\nContact : 9573185358 &amp; 9866651601 ☎\n\nMake sure to provide them your exact location with Covid Positive report. They'll help you to serve food for free on your request 🤗","30","","29-Apr-2021","1689","False"
"am_harshi","Free home prepared food for Covid Patients in Hyderabad 🍜\n\nContact : 9573185358 &amp; 9866651601 ☎\n\nMake sure to provide them your exact location with Covid Positive report. They'll help you to serve food for free on your request 🤗","180","VIZAG❤","29-Apr-2021","2752","False"
"RapoGirlsFC","Free home prepared food for Covid Patients in Hyderabad 🍜\n\nContact : 9573185358 &amp; 9866651601 ☎\n\nMake sure to provide them your exact location with Covid Positive report. They'll help you to serve food for free on your request 🤝 #CovidResources #Covid19IndiaHelp #COVID19India","55","","29-Apr-2021","392","False"
"TimesNow","#WATCH | TIMES NOW's Pradeep Dutta interacts with a lady from Jammu who has taken up the initiative to provide homemade food for Covid patients. https://t.co/9yp0GIQJPy","7","India","29-Apr-2021","10020561","True"
"deepaksomisetty","Free home prepared food for Covid Patients in Hyderabad 🍜\n\nContact : 9573185358 &amp; 9866651601 ☎\n\nMake sure you provide them your exact location with Covid Positive report. They'll help you to serve food for free on your request 🤗 \n\n#COVID19India #CovidHyderabad #Hyderabad","114","Hyderabad, India","29-Apr-2021","3320","False"
"sardesairajdeep","Good news story: he contracted Covid 19, recovered and now spends his time ensuring free food for Covid patients in Mumbai. Meet Rajiv Singhal.. https://t.co/hdGIdJUQFB @IndiaToday","34","New Delhi","29-Apr-2021","9110987","True"
"psshekar","@divakarragam @WeAreHSRLayout Order home food for covid patients https://t.co/Xgr6UlyBBX","0","","28-Apr-2021","28","False"
"theoddaman","Waplocal is delivering home made healthy food for covid patients with free delivery. #bhagalpur  #SOSBhagalpur #CovidHelp #COVID19 https://t.co/OHAZLDxE8d","2","Bhagalpur, Bihar","28-Apr-2021","1","False"
"himanshu_1316","We continue our efforts in this direction. Please reach out to us on 9588802638 for healthy and fresh food for covid patients in bikaner. @namitmehta_1 @AIR_Bikaner @shekhawat2407","0","Bengaluru, India","28-Apr-2021","73","False"
"SkSnigdha","Home style food for #Covid patients in #DelhiNCR #HYDERABAD #Jamshedpur and #Pune https://t.co/Gfcg8MBls9","1","Hyderabad, Lucknow, Noida","28-Apr-2021","379","False"
"ShivaprasadPis2","@KTRTRS @TelanganaCMO @SonuSood Not providing food for covid patients here in sangareddy govt hospital. Lot of problems facing in order to make arrangement themselves. Plz kindly support them and make food arrangements. It will help in speady recovery. Thank u🙏","0","","28-Apr-2021","0","False"
"amitsharma_17","Meet the good samaritan @TheSandipMittal ,volunteering to deliver food for covid patients in Chd and Mohali https://t.co/qaE52rPjGs","0","🌍","28-Apr-2021","1395","False"
"The_Pahadiboy","#Delhi Free Food For COVID Patients https://t.co/XuTXEYPgtC","0","Almora, India","28-Apr-2021","1389","False"
"darrencaldeira","#Delhi #NCR #Haryana \nFree food for Covid patients living alone. https://t.co/67cByDxNUG","1","Bombay, India","28-Apr-2021","5423","True"
"mrpixelwala","Mr.Nirmal team is providing #food for #covid patients morning and evening in #indore \nContact : 9399366331","2","Indore, India","28-Apr-2021","96","False"
"faridantr","Free Food For #Covid Patients in Hyderabad \n\nIn Emergency Contact To The Below Number Please Share  🙏🙏 \n\nJai NTR ✊✊\nJai NTR Fans ✊✊ https://t.co/R0A9qzxsio","5","","28-Apr-2021","2027","False"
"sarahaiemo","Any leads for free food for covid patients in bhopal ????","0","titts ","28-Apr-2021","492","False"
"Anil_Tarak999","Free food for #Covid Patients in Hyderabad !! \n\nIn emergency contact to the below number !!    Please Share  🙏 https://t.co/9QIhOPftg8","8","Hyderabad, India","28-Apr-2021","2378","False"
"GlobalDesigirl","Home cooked food for #Covid patients in #HomeQuarantine in #Bangalore https://t.co/okrhjrxL8c","0","Bangalore","28-Apr-2021","1990","False"
"iammohu","Food for COVID patients🙏🙏🙏\n@nammatirupur @TirupurTalks https://t.co/JplBiIVqNN","6","கொடி காத்த குமரன் ஊர்","28-Apr-2021","516","False"
"JoyAndLife","Any one doing tiffins/food for COVID patients in Pune? Preferably Aundh/Kirkee area? Please let me know","37","ÜT: 19.066365,72.829914","28-Apr-2021","11600","False"
"preemodi","@KafrisaFoodCo Do you deliver food for covid patients admitted in the hospital? Looking for tiffin service to Axon Hospital, Sakinaka. #Covid #Tiffinservices #Powai #Sakinaka #Chandivali","0","United Kingdom","28-Apr-2021","180","False"
"QEBNA","Here goes additional options for home delivery of cooked food for COVID patients of Khardah , Rahara. https://t.co/bIQLACbued","0","Kolkata, India","28-Apr-2021","2461","False"
"RanadaggubatiF","Free food for #Covid Patients in Hyderabad !! \n\nIn emergency contact to the below number !! https://t.co/20ZvFwdVRl","10","Worldwide","28-Apr-2021","858","False"
"COVID19_INDIA","Food suppliers for #CovidIndiaInfo positive patients in UP, KERALA, KARNATAKA, GUJARAT! 🥘Names highlighted in green are offering *free food* for covid patients. For more details and rest of the states please visit the link! ✨ https://t.co/4rh5PSPj3l https://t.co/50nMIJ5IJ2","13","🇮🇳","28-Apr-2021","15128","False"
"LiveVideoChamps","I just supported Sapaadu for Chennai on @buymeacoffee! 🎉 \n\nSapaadu for Chennai is serving home cooked food for COVID patients in Chennai. You can support by buying a meal 🍛 here — https://t.co/pkDCPFDSSR","0","Philadelphia","28-Apr-2021","100","False"
"NagendraVasist4","WE serve you healthy vegetarian home-cooked food at your door step any time..\nWe follow all Covid protocol from preparation to delivery.\nWe also prepare special custom food for COVID patients. (Vijaynagar,maranhalli bangalore)\nContact : 8105237232","1","","28-Apr-2021","29","False"
"imssanger","They Supplies food for Covid Patients &amp; for family!\nOnly For #Delhi \n\n#CovidResources #COVIDEmergency2021 https://t.co/I95uMfhOFj","4","Patna, India ","28-Apr-2021","2663","False"
"buymeacoffee","Sapaadu for Chennai is serving home-cooked food for COVID patients in Chennai.\nhttps://t.co/BJqPEeEHDa","4","BMC link in ur bio","28-Apr-2021","94087","False"
"QEBNA","Here goes another option for home delivery of cooked food for COVID patients located in South Kolkata.\nVeg - 40 INR , Non-Veg 60 INR https://t.co/WeSSKPydiB","0","Kolkata, India","28-Apr-2021","2461","False"
"BuopsoNews","Farmers with food for Covid patients &amp; their attendants are spotted outside many hospitals in Delhi.\n150 days of protest and they are still there!\n\n #CoronavirusIndia #FarmersProtest https://t.co/bCi4b0NJaq","0","Gujranwala Town, Delhi, 110009","28-Apr-2021","8","False"
"yoongienthusias","PATNA\n\nFOOD FOR COVID PATIENTS AVAILABLE in PATNA \nspecifically Kankarbagh, dm for contact number \nthey will ask you to send positive reports and address on whatsapp.","37","","28-Apr-2021","831","False"
"QEBNA","Here goes another option for home delivery of cooked food for COVID patients located in Behala , Kolkata.\nhttps://t.co/N5ASc2xabi https://t.co/llPds8gu2Q","0","Kolkata, India","28-Apr-2021","2461","False"
"reachrummana","Food for Covid patients #COVID19India #CovidHelp https://t.co/hh4rD00pxS","0","Bangalore","28-Apr-2021","2556","True"
"raosahil0001","COVID 19 DELHI\n\n•Delhi Bjp Team \nFree food for Covid patients,helping for admit in hospital,arrangement plasma,giving oxygen &amp; many more helps. \n\n•Aap \n No bed only ad,100room book for vvip in Ashoka hotel\n\nThanks @adeshguptabjp ji 🙏\n#Vvip #AshokaHotel https://t.co/kWmHmheYlp","3","New Delhi, India","28-Apr-2021","257","False"
"MrilqO","FREE/Subsidized FOOD for COVID Patients  &amp; Health Workers👇🏻\n\nhttps://t.co/2IYlVORj6u\n.\n.\n#COVID19\n#CoronavirusIndia #CoronaSecondWave #resources #Help #food #health #HealthcareHeroes #covidpatients #pandemic #smallbusiness #coronavirus #CovidHelp #Covid #CoronavirusPandemic","5","Dhanbad, India","28-Apr-2021","6","False"
"raatchhh","#Delhi free food for COVID patients. Contact on Instagram - photo added 28.04 around 10:40am #CovidSOS https://t.co/wJjxo40DBT","2","","28-Apr-2021","358","False"
"carona_m","Free food for COVID patients in #Bhubaneswar. Forwarded by a trusted sources. Not verified personally.\n#CovidHelp #CovidResources https://t.co/yGraMNqrp8","0","Bangalore, India","28-Apr-2021","1242","False"
"WeAreVasai","Bed availibility page updated with phone numbers - https://t.co/UQ5xiRbaZW\n\nAlso have listed a organization that is providing free food for COVID patients.","10","Vasai (वसई) Baçaim ","28-Apr-2021","4498","False"
"AMITA0744","#Farmers with food for #Covid patients &amp; their attendants are spotted outside many hospitals in Delhi. #CoronavirusIndia #FarmersProtest https://t.co/Oo3sG5yzIb","1","Julana, India","28-Apr-2021","37674","False"
"IndianBackchod","Farmers with food for Covid patients &amp; their attendants are spotted outside many hospitals in Delhi. #CoronavirusIndia #FarmersProtest https://t.co/f8uP864vWj","0","India","28-Apr-2021","5135","False"
"sukhdha75655514","Farmers with food for Covid patients &amp; their attendants are spotted outside many hospitals in Delhi.\n\n#5MonthsOfFarmersProtest https://t.co/1V2Hqseiim","121","","28-Apr-2021","2406","False"
"Mandeeptiwana8","Farmers with food for Covid patients &amp; their attendants are spotted outside many hospitals in Delhi. #CoronavirusIndia #FarmersProtest https://t.co/aPttSbIxgU","3","","27-Apr-2021","13","False"
"law_yaar","Free food for Covid patients\n\n#covid #covidcrisis #covid19 #covid_19 #CovidResources  #coronaresources #coronaindia #coronavirus #coronaviruspandemic #coronabengal #kolkatafightscorona #bengal #westbengal #TeamSAATH  #KolkataCovid https://t.co/hTM5Eq5PgT","0","Kolkata, India","27-Apr-2021","43","False"
"omn1trix","food for covid patients in Chandigarh\nVerified 10 Pm today https://t.co/1TTux6qlAN","0","Pochinki","27-Apr-2021","468","False"
"QEBNA","Here goes additional options for home delivery of cooked food for COVID patients of Kolkata. https://t.co/ruOhoNWTr7","0","Kolkata, India","27-Apr-2021","2461","False"
"QEBNA","Here goes another option for home delivery of cooked food for COVID patients of Kolkata living in Baghbazar , Hatibagan , Khanna , Ultadanga areas.\nhttps://t.co/4cOqeY3yEo https://t.co/JuUrxggwQZ","0","Kolkata, India","27-Apr-2021","2461","False"
"Srikanth19863","@Jagadish_999 Jagratha ra Ayya..\nFree Food for Covid Patients ki ani 6 Day's line ga thiruhuthuna..\nThroat infection..\n1 st Naku From Birth","0","","27-Apr-2021","1060","False"
"googieflower09","okay so appreciation post for people providing free food for covid patients. God bless you. I will pray for your health and happiness🙏 Even if you are charging something from people who can afford, it's fine but for real. God is watching. You all will be blessed🙏","2","","27-Apr-2021","254","False"
"achhattisgariha","Home Food for COVID patients:  https://t.co/VVrW6T3IEr \n\nMore resources:\n\nEmergency Services Directory: https://t.co/SXT9WrQXII \n\nAll India: https://t.co/4u89VGjMTC \n\n#CovidHelp #CovidResources #COVIDEmergency","0","","27-Apr-2021","20","False"
"Shahbaz16629533","Farmers with food for Covid patients &amp; their attendants are spotted outside many hospitals in Delhi. #CoronavirusIndia #FarmersProtest https://t.co/pbKiuTIY7h","0","Bhadrak, India","27-Apr-2021","94","False"
"CareClubFound","•*• Verified by thehraav•*•\nHome delivery food for covid patients\nDelivery available in full delhi NCR region\nOrder at : +919871440413\n#thehraavngo #CovidResources #Oxygen #CovidHelp #OxygenEmergency #oxygenavailable #CovidHelp #DelhiCovid #food","1","New Delhi, India","27-Apr-2021","73","False"
"CViraraghavan","#Chennai #Volunteers needed to cook, deliver and order #food for #Covid patients #CovidHelp Please look at this thread. https://t.co/lf9oszG4N2","1","Madras, India","27-Apr-2021","1400","False"
"urstrulyram9999","Free food for covid patients in vijayawada and hyderabad.. https://t.co/f0JH7F661k","4","🚜🐄🌾 KONASEEMA - HYD 🏙🌇🛣","27-Apr-2021","1565","False"
"venkysplace","Farmers with food for Covid patients &amp; their attendants are spotted outside many hospitals in Delhi. #CoronavirusIndia #FarmersProtest \n@venkysplace\n\nhttps://t.co/iHRnl6PGBL","0","","27-Apr-2021","55","False"
"PavanReddyN777","Free food for covid patients in Hyderabad. \n\n#CovidHelp #IndiaFightsCOVID19 #CovidResources https://t.co/sqT2zdnyXO","4","Cuddapah, India","27-Apr-2021","484","False"
"VishalThakur08","Anyone serving food for covid patients near friends colony, taimur nagar. @KhanAmanatullah @msisodia @AamAadmiParty","0","","27-Apr-2021","52","False"
"fightcovid_help","home cooked food for covid patients at home. All three meals breakfast, lunch and dinner is being provided at a very nominal price. Any meal can be ordered separately as well. \nLoc: South Delhi\nContact: 8178405583\nPooja Khurana \n#Verified","1","New Delhi","27-Apr-2021","14","False"
"mrinalrajaram85","Sharing a series of related Google Docs looking for #Volunteers to cook, deliver and order food for #Covid patients across #Chennai. Was sent to me by friends who assisted tirelessly during the migrant crisis. Please share! \n\nhttps://t.co/PoHj81lqlH","8","Chennai, India","27-Apr-2021","162","False"
"rituparnaborah","@basrur @WefastDelivery It's an app which loots people during Covid. I am delivering free food for covid patients and they have behaved horribly with me. First they charge 150 for the same address and then 191 for the same address and the next day. Trust me they are looters","0","new delhi","27-Apr-2021","735","False"
"AbijeetUniverse","Free food for covid patients in Hyderabad. \nContact below numbers based on your location \n\n#CovidHelp #IndiaFightsCOVID19 #CovidResources https://t.co/FvVfL4U0Fa","5","India","27-Apr-2021","365","False"
"MaheshBabuFansG","Free food for covid patients in Hyderabad. \n@SVC_official @RRRMovie\n#CovidHelp #IndiaFightsCOVID19 #CovidResources @SureshProdns @KeerthyOfficial https://t.co/0muC1qeF5V","2","Hyderabad, India","27-Apr-2021","466","False"
"MaheshBabuFansG","Free food for covid patients in Hyderabad. \n\n#CovidHelp #IndiaFightsCOVID19 #CovidResources https://t.co/7e0CKH9KZD","1","Hyderabad, India","27-Apr-2021","466","False"
"PANDUPYM","Free food for covid patients\n#Covid19IndiaHelp #COVID19India \n#CovidHelp https://t.co/kkWfgniVkC","4","","27-Apr-2021","237","False"
"moinaksg","Free food for Covid patients....\n\n#SOSKolkata \n\nPlease spread the message. \n\n#COVID19Pandemic https://t.co/JFf6deC3CL","0","","27-Apr-2021","2212","False"
"onlymaheshfans","Free food for covid patients in Hyderabad. \n\n#CovidHelp #IndiaFightsCOVID19 #CovidResources https://t.co/INGv3BVzzJ","105","Hyderabad, India","27-Apr-2021","123590","False"
"DHFMB_Sai","free food for covid patients in #Vijayawada Spread and retweet https://t.co/kMtyK8Xp2Q","1","U Can't ","27-Apr-2021","1568","False"
"laxmionline","I just supported Homefood for Chennai on @buymeacoffee! 🎉 \n\nHomefood for Chennai is serving home cooked simple food for COVID patients in Chennai. You can support by buying a meal 🍛 here — https://t.co/fc19QEJh1T","1","Singapore","27-Apr-2021","202","False"
"amaanbali","Farmers with food for Covid patients &amp; their attendants are spotted outside many hospitals in Delhi. #CoronavirusIndia #FarmersProtest https://t.co/k5BhPBvQ8q","834","Mumbai, Punjab, Kashmir","27-Apr-2021","30925","False"
"AbhinavKarthik_","Contact numbers for BEDS,Oxygen &amp; Plasma for Hyderabad people\n\nFree food for covid patients in Miyapur,AmeenPur,Chandanagar,KPHB ,Nizampet, HyderNagar, ShamirNagar,babaguda,thumagunta\n\n#CovidHelp #covidhyderabad #CovidHelpHyderabad https://t.co/t8KyPbwGu5","223","","27-Apr-2021","5240","False"
"DHFMB_Sai","free food for covid patients in #Vijayawada Spread and retweet\n@AlankarMBFans https://t.co/3jV8d0nWbv","47","U Can't ","27-Apr-2021","1568","False"
"faultedstar03","Home cooked food for covid patients and their families in #gurgaon. #Covid19IndiaHelp #CovidHelp https://t.co/YuphIHNJLi","0","Delhi, India","27-Apr-2021","22","False"
"tenali_rama","#SOSBangalore #food #bengaluru #Bangalore #bangalorecovid #CovidResources \n\n*Food for covid patients. Area - Outer Ring Road, Panathur* https://t.co/A68qgXYX4s","2","","27-Apr-2021","4","False"
"seemakar1","COOK AND BAKE providing free food for covid patients. \nSHARE RETWEET... HELP RANCHI GET PAST THIS DIFFICULT TIMES\n\n🙏🙏 very nice initiative 🙏🙏\n@akanshasethi8\n@shubhamgantayat \n@CHI21official21 https://t.co/KB2Hja9M3n","2","","27-Apr-2021","7","False"
"niiivedita","#CovidResources for #Bihar :\n#OxygenRefilling and free food for #Covid patients! Please Amplify! 🙏🏼 https://t.co/Yzps9BNnTk","0","नोएडा, भारत","27-Apr-2021","31","False"
"montyanand19","@deepigoyal @zomato It should not be restricted to restaurants only. It should be extended to homes/individuals, if some one is interested to cook home food for covid patients and give to covid patients using your delivery channel. This makes more sense.","0","","27-Apr-2021","0","False"
"QEBNA","Additional option for delivery of cooked food for COVID patients from South Kolkata. https://t.co/UsMDvHeCxr","0","Kolkata, India","27-Apr-2021","2461","False"
"TeamSaath","#Ranchi #Food\n\nContact 7250481236 for free food for Covid patients in \nRanchi. Lunch and Dinner available.\n\nVerified By #TeamSAATH🤝","80","","27-Apr-2021","25078","False"
"gunjakapoor","If you need food in #LUCKNOW\n\nFood for Covid Patients\n\nPl book by Whatsapp on :\n9415075434 ,9793245725\n\nService Area : Chowk, Thakurganj","4","Lucknow","27-Apr-2021","37472","False"
"soumitrapote","#MahaCovid \nVeg Food for Covid patients. https://t.co/lZROnCIrfe","16","India","27-Apr-2021","8794","False"
"AnthSald","HOME COOKED\nMEALS IN DELHI\n@RuchiraC\nHere's A List Of Places Offering Home Cooked Food In Delhi, Mumbai If You're In COVID Isolation\n\nhttps://t.co/Gbt6yZwMoM","0","","27-Apr-2021","287","False"
"rachaellllllll_","#Ranchi #Food\n\nContact 7250481236 for free food for Covid patients in \nRanchi\nLunch and Dinner available.\n\nVerified by Ayudh on 27-04-21 @ 11 AM.\n\n#ICLUVerifies","9","covid resources in the thread","27-Apr-2021","1020","False"
